"Internal Reference","Name","Cost","Sales Price","Website Product Category"
"VMF822","Sanus Wall Mount for 32""-65"" TVs Advanced full-motion 4D® + Shift™","0.0","250.0","TV & Home Theater / Mounts / TV Mounts"
"X1s","Sofa baton X1S","0.0","265.0",""
"SUB G3","Sonos 3rd Generation Subwoofer","0.0","0.0","Home Audio / Wireless & Multi-Room Audio"
"ARC W","Sonos ARC Premium Smart Soundbar for TV - White","0.0","1325.0","Home Audio / Home Audio Soundbars"
"AMP","Sonos Amplifier","0.0","950.0",""
"ARC B","Sonos Arc Dolby Atmos Soundbar (Black)","977.3000000000001","1325.0","Home Audio / Portable Audio / Bluetooth Speakers"
"ARC Ultra B","Sonos Arc Ultra Soundbar with Dolby Atmos and Voice Control (Black)","0.0","1525.0","Home Audio / Home Audio Soundbars"
"BEAM- WALL MOUNT-BLACK","Sonos BEAM- WALL MOUNT - Black","52.93","89.0",""
"RAY-BLK","Sonos Compact Soundbar (Black)","323.35","439.0",""
"RAY-WH","Sonos Compact Soundbar (White)","323.35","439.0",""
"Sub Mini B","Sonos Compact Subwoofer (Black)","497.35","675.0",""
"Sub Mini W","Sonos Compact Subwoofer (White)","497.35","675.0",""
"Five W","Sonos Five Hi-Fi Smart Speaker","0.0","795.0","Home Audio / Portable Audio / Bluetooth Speakers"
"Five B","Sonos Five Hi-Fi Smart Speaker","0.0","795.0","Home Audio / Portable Audio / Bluetooth Speakers"
"SUB 4 B","Sonos G4 Wireless Subwoofer (Matte Black)","0.0","1175.0",""
"Beam G2 B","Sonos Generation 2 Compact Soundbar with Dolby Atmos (Black)","577.1","775.0","Home Audio / Portable Audio / Bluetooth Speakers"
"BEAM G2 W","Sonos Generation 2 Compact Soundbar with Dolby Atmos (White)","520.55","775.0","Home Audio / Portable Audio / Bluetooth Speakers"
"MOVE 2 B","Sonos Move 2 Wireless Portable Bluetooth Speaker (Black)","0.0","699.0","Home Audio / Portable Audio / Bluetooth Speakers"
"","","","","Home Automation / Smart Speakers"
"MOVE 2 W","Sonos Move 2 Wireless Portable Bluetooth Speaker (White)","0.0","699.0","Home Audio / Portable Audio / Bluetooth Speakers"
"","","","","Home Automation / Smart Speakers"
"MVWHKWW1","Sonos Move Wall Hook (White)","0.0","45.0","TV & Home Theater / Mounts"
"ARC WMK","Sonos Wall Mount Kit for Arc Soundbar","85.55","120.0","TV & Home Theater / Mounts"
"PORT","Sonos versatile streaming component for your stereo or receiver.","466.18","635.0","Home Audio / Wireless & Multi-Room Audio"
"UVY1E682MHD","	Aluminum Electrolytic Capacitors - Radial Leaded Aluminum Electrolytic Capacitors - Radial Leaded 25volts 6800uF 16x35.5 20% 7.5LS","3.71","8.0",""
"BN94-05683M","	BN94-05683M Samsung Main Board, BN41-01812A, E88441, UN60ES6100FXZA, UN60ES6100FXZA HH01","99.34","135.0",""
"","	Desoldering Braid / Solder Removal Desoldering Braid / Solder Removal Desoldering Wick, 1.5mm","0.0","3.2",""
"","	Desoldering Braid / Solder Removal Desoldering Braid / Solder Removal Desoldering Wick, 2.5mm","0.0","3.2",""
"","	Desoldering Braid / Solder Removal Desoldering Braid / Solder Removal Solder Sucker High Impact Plastic","0.0","12.75",""
"ECQ-E2474KFW","	Film Capacitors Film Capacitors 250VDC 0.47uF 10% MPET L/S=10mm","0.66","4.0",""
"LUX-AMP-1002","	LUX-AMP-1002..50W x 2 Stereo Power Amplifier, Class D..","247.35","395.0",""
"","   Cardio Theater XTV-FMR FM Receiver ..","256.99","470.0",""
"xTV FM-RX","   Cardio Theater XTV-FMR FM Receiver ..","256.99","470.0",""
"DM48D","  48"" Slim Direct-Lit LED Display with WiFi and SmartShare","1454.6000000000001","2110.0",""
"IUQFP-2","  IUQFP-2 Ultra Quiet Dual Fan Panel 2U","208.0","470.0",""
"65LX341C"," (64.53” diagonal) Edge LED Commercial Lite Integrated HDTV","1754.5","2460.0",""
"75UV340C"," (74.6” diagonal) 75UV340C UHD Commercial TV with Essential Smart Functions","3707.58","5775.0",""
"P605UL"," ***DUTY FREE*** 6,000 Lumen, WUXGA, LCD, Laser Conference Room Projector","3600.0","5040.0",""
"xTV-FM-TX"," .. Cardio Theater XTV-FMT FM Transmitter ..","435.13","795.0",""
"NP14ZL"," ..2.97-4.79:1 Zoom Lens (lens shift) .. .. ..","0.0","0.0",""
"V463"," ..46” High-Performance LED-Backlit Commercial-Grade Display w/ Integrated Speakers  ..","962.0","1885.0",""
"NP-P502W"," ..5000-lumen Professional Installation Projector ..","1642.0","3105.0",""
"V552"," ..55” High-Performance LED Backlit Commercial-Grade Display w/ Integrated Speakers  ..","0.0","3230.0",""
"E585"," ..58"" LED Backlit Display with Integrated Tuner ..","1241.0","2895.0",""
"P3374-V"," 01056-001 Day/night fixed dome with support for WDR-Forensic Capture and Lightfinder. Discreet, IK10 vandal-resistant indoor casing. Varifocal 3 – 10 mm P-Iris lens with remote zoom and focus. Multiple, individually configurable H.264 and Motion JPEG ...","509.15000000000003","1035.0",""
"C5E-350 YL1B  ROLL"," 24/4P CATEGORY 5-""E-PLUS""  350-MHz YELLOW,, PVC, 1,000' PULL-BOX (UL) OR ETL CMR","114.55","230.0",""
"C5E-350 YL1B"," 24/4P CATEGORY 5-""E-PLUS""  350-MHz YELLOW,, PVC, 1,000' PULL-BOX (UL) OR ETL CMR","0.11","0.25",""
"C5E-350 GN1B"," 24/4P CATEGORY 5-E 350 MHz, GREEN, PVC, 1,000', PULL-BOX (UL) OR ETL CM/CMR","0.11","0.25",""
"C5E-350 GN1B  ROLL"," 24/4P CATEGORY 5-E 350 MHz, GREEN, PVC, 1,000', PULL-BOX (UL) OR ETL CM/CMR","114.55","230.0",""
"C5E-350 BK1B  ROLL"," 24/4P CATEGORY 5-E 350MHz, BLACK, PVC, 1,000', PULL-BOX (UL) OR ETL CMR","114.55","230.0",""
"C5E-350 BK1B"," 24/4P CATEGORY 5-E 350MHz, BLACK, PVC, 1,000', PULL-BOX (UL) OR ETL CMR","0.11","0.25",""
"C5E-350 GR1B"," 24/4P CATEGORY 5-E 350MHz, GRAY, PVC, 1,000', PULL-BOX (UL) OR ETL CMR","0.11","0.25",""
"C5E-350 GR1B  ROLL"," 24/4P CATEGORY 5-E 350MHz, GRAY, PVC, 1,000', PULL-BOX (UL) OR ETL CMR","114.55","230.0",""
"C5E-350-OR1B  ROLL"," 24/4P CATEGORY 5-E 350MHz, ORANGE, PVC,, 1,000' PULL-BOX (UL) OR ETL CMR","114.55","230.0",""
"C5E-350-OR1B"," 24/4P CATEGORY 5-E 350MHz, ORANGE, PVC,, 1,000' PULL-BOX (UL) OR ETL CMR","0.11","0.25",""
"JASHEP50669"," 3-OUTLET GROUND EXT CO","8.99","18.0",""
"4 x1 HDMI Switch W/Optical"," 4 x 1 HDMI Switch with Audio Out Optical SPDIF Coaxial & RCA L/R 4 Port HDMI Switcher Box Selector Audio Extractor Splitter with IR Remote Supports 4Kx2K, ARC, Full 3D","29.990000000000002","50.0",""
"SB-4217HD-WH"," 42 Pro Series Direct Sun Outdoor TV (White)","2921.0","5930.0",""
"EXT-50M18G"," 4K HDR HDMI 2.0 18G Extender 50M over Cat6","226.03","325.0",""
"SW-HDMX44DS"," 4x4 HDMI 2.0 Matrix Switcher with 4K to 1080p Down-scaling","264.96","540.0",""
"E-506"," 50"" LED Backlit Display with Integrated ATSC/NTSC Tuner  ..","725.0","1475.0",""
"XMS-7048P"," 52-Port Stackable GIGABIT POE+ L2/L3 Managed Switch","2450.5","4800.0",""
"XBR55A8G"," 55 Inch TV: BRAVIA OLED 4K Ultra HD Smart TV with HDR and Alexa","1680.55","2195.0",""
"55LS75A5B"," 55"" LED Full HD Display with webOS™","2537.5","3425.0",""
"QM55B"," 55"" LED-backlit LCD display - 4K - for digital Signage","1260.0","2565.0",""
"NP-PA622U"," 6200 lumen Advanced Professional Installation Projector ..","3274.0","6410.0",""
"XBR65X900"," 65"" Class (64-1/2"" Diag.) - LED - 2160p - Smart - 3D - 4K Ultra HD TV","0.0","2095.0",""
"JAS14088"," 6OTLT PWRSTRP BLK 6FT","13.19","26.5",""
"C4-DIN-8ESWE"," 8-Port Ethernet Switch","310.88","439.0",""
"TPES44"," 8-port (4 10/100, 4 PoE) PoE Switch","73.88","100.0",""
"TS8Pro"," 8-port 60W POE Managed Switch","242.08","340.0",""
"SB-AW-SNDBR-S-B"," All Weather 2-Channel Passive Soundbar for TV's 43 wide and larger","489.3","665.0",""
"61SJK-RW6"," Atlas-X1 Cat 6 Component-Rated Shielded QuickPort Connector supports 1000BASE-T networks","18.0","25.0",""
"C4-CA-1"," Automation Controller","372.72","525.0",""
"EZ-45-CAT6"," CONNECTORS FOR HNCPRO PLUS AND CAT6E CABLES - 100 PIECES PER JAR..","0.0","0.0",""
"930-3200-401-1"," CONVERGE PA 460 Amplifier unit + Qty 1 Rack Mounting Kit","658.82","985.0",""
"C55V"," Ceiling Mount Box & VESA Screen Adapter Assembly for 32-55""+ Screens, 100 Load Capacity","72.0","150.0",""
"CQUAD55V"," Ceiling mounted Quad display system for displays up to 55"", includes a VESA mounting interface","0.0","0.0",""
"CKG2-RM"," Cloud Key Rack Kit 6JH460","85.87","175.0",""
"114891"," Commercial Audio Desktop Paging Microphone with On/Off Button","44.99","95.0",""
"MDTDBPBB"," DECOR BLACK PLATE & BR","4.94","10.0",""
"C4-DS2BFMKP-VB"," DS2 Door Station Surface Mount w/Keypad (Venetian Bronze)","908.2","1845.0",""
"WP-DEC-STRAP-1-WH"," Decorative Strap 1-Port Decorative Strap - White","1.9100000000000001","2.75",""
"WP-DEC-STRAP-2-WH"," Decorative Strap 2-Port Decorative Strap - White","0.7000000000000001","0.0",""
"WP-DEC-STRAP-3-WH"," Decorative Strap 3-Port Decorative Strap - White","0.7000000000000001","2.25",""
"CNX-B4-W-T"," Designer Keypad, 4-Buttons, White textured; includes 1-gang faceplate","101.49000000000001","370.0",""
"CNX-B6-W-T"," Designer Keypad, 6-Buttons, White textured; includes 1-gang faceplate","259.8","370.0",""
"CNX-B8-W-T"," Designer Keypad, 8-Buttons, White textured; includes 1-gang faceplate","101.49000000000001","370.0",""
"EV-20RPS US"," EV-20RPS Digital Message Repeater with USB Input..","650.0","1270.0",""
"FCC-WIPES"," Fiber Optic Corning UNICAM Termination System Fiber Cleaning cloths (90 sheets)","15.48","0.0",""
"CCM682."," Flagship 8"" Ceiling Speakers 2-way in-ceiling system, 1"" Nautilus Swirl loaded aluminum dome tweeter, 8” Blue Kevlar cone bass/midrange","357.43","500.0",""
"USW-FLEX-UTILITY"," Flex Utility is an outdoor weatherproof enclosure designed for use with the Switch Flex.","64.74","95.0",""
"SP-HDCAT1x4"," HDMI 1x4 Distribution Amplifier 120M over CAT5e/6 Outputs","511.65000000000003","725.0",""
"303401-1"," IP65 all-weather enclosure and design..• Custom UBD™ (Ultra Broad Dispersion) driver..provides consistent 150-degree-wide dispersion and..total coverage without beaming or hot spotting..• The 4.5"" UBD™ driver allows you to locate sats..10 - 15' (3 - 4...","0.0","610.0",""
"LU1082"," Leaf 4K Ultra HD 10x10 AV Matrix Switch","7177.5","10800.0",""
"Logitech MeetUp HD Video and Au"," Logitech's premier ConferenceCam specifically designed for business-grade video meetings in huddle rooms and small conference rooms ..• Super-wide 120-degree field of view enables everyone in the room to be seen, even people sitting close to the camer...","971.3000000000001","1190.0",""
"RC4136N"," Op Amps\u00FE","2.39","8.0",""
"PA600"," PA-600 A..2 Channel Power Amplifier 300wpc","1474.65","1930.0",""
"POE-Injector"," PoE injector to transfer both power and data to your PoE cameras via one single Ethernet cable.","37.69","40.0",""
"SW10"," Powered Subwoofer; 10-in.; 125 Watt","249.9","430.0",""
"SW12"," Powered Subwoofer; 12-in.; 260 Watt","337.62","575.0",""
"SW8"," Powered Subwoofer; 8-in.; 1,200 Watt","363.96","550.0",""
"KITPB003W"," Preconfigured kit of projector ceiling mount products. Kit includes: (1) RPAUW, (1) CMS003W and (1) CMA455","379.5","495.5",""
"VMF518"," Premium Series Full-Motion Mount for 40"" - 50"" flat TV","130.0","185.0",""
"SB-4917HD-WH"," Pro Series Direct Sun Outdoor TV - 49 (White)","3219.9500000000003","6536.0",""
"PTZ-12x72"," Q-SYS PoE camera for AV-to-USB Bridging. 12x Optical Zoom 72° horizontal field..of view. For small to medium conference rooms. Includes Lan, 3G-SDI and HDMI; includes a PTZWMB1 (Wall Mount Bracket).","3170.59","6440.0",""
"QN75Q80A"," Q80A Smart QLED 4K UHD TV with HDR","1937.2","2799.0",""
"QIS Roller Shade 81/120"," QIS HARDWIRED ROLLER SHADE ..ROLLER SHADE..Color: 80P0110 (S 2390 Beige Pearl Grey 5%)..Bracket to Bracket Width 81..Measured Height 120..Mount Type INSIDE..Roll Direction STANDARD..Bracket Type DUAL..BRACKETS..Dual Shade - Solar or Blackout SOLAR..Br...","754.77","0.0",""
"QM55F"," QM-F Series 55"" Edge-Lit 4K UHD LED Display for Business","2298.25","0.0",""
"RG6/U95-S-BLK"," RG6/U CCTV COAX SIAMESE- 18 AWG BC, 95% BC BRAID + 2C/18 AWG PWR- 1000 FT SPOOL -BLACK","0.26","0.0",""
"UN40MU6300"," Samsung 40"" Class 4K (2160P) Smart LED TV","446.88","695.0",""
"BN94-13277G"," Samsung Main Board, BN97-14778R, BN41-02635B, UN58MU6070EXZA","131.37","150.0",""
"ZHC-ZBT0010085"," Serialized Free Hanging Shielded Balun","119.0","0.0",""
"XT244"," Standard I/O Player","530.8","835.0",""
"SA255MKII"," Stealth 350-watt Subwoofer amplifier/crossover","652.49","915.0",""
"Stylus 370 BLACK"," Stylus 370 v.3 (Outdoor)  Speakers           BLACK","174.57","550.0",""
"WPS-750-BUL-IPH-WH"," Surveillance 750-Series Bullet IP Outdoor Camera with IR and Heater (2MP 1080p | White)","0.0","765.0",""
"T3U-3-4SHD-16207"," T3U-3-4SHD Connector Plate with HD-15 & 4-Snap-in Connectors","40.300000000000004","0.0",""
"HDMX44A-18G"," Ultra-Fast 4x4 HDMI Matrix Switcher with Audio Extraction 4K/60Hz","504.0","1030.0",""
"IRUSB"," Video Storm IRUSB: USB IR transceiver - IP Control for Android Devices. Works with - Amazon Fire TV 4K, nVidia Shield Pro, Chromecast Google TV","47.45","75.0",""
"Via Connect Pro"," Wireless collaboration and presentation solution.","0.0","584.95",""
"XBR49X950H"," X950H | Full Array LED | 4K Ultra HD | High Dynamic Range (HDR) | Smart TV (Android TV)","1259.47","1795.0",""
"MHX-Y2"," Y CABLE / 2 MALE TO 1 FEMALE","5.25","10.0",""
"ZW-9Z"," Z-Wave interface","142.95000000000002","200.0",""
"PH10","""10 Ft - 1/4"""" - 1/4"""" 8mm. Inst. Cable""","10.5","16.95","Accessories"
"PXTMXF1","""10 Ft - TRS(M)-XLR(F). Balanced Cable""","13.05","15.95","Accessories"
"PHM15","""15 Ft - 8mm Mic Cable. XLR""","16.5","24.95","Accessories"
"SX-24P","""24 Port High Powered Gigabit with 24 Port..Full PoE Switch..•  Fully Managed with Remote Power..Cycling- Web, CLI, and Telnet..•  802.3af compliant PoE- Full 15.4..Watts on all 24 ports..•  OR 802.3at PoE+ high power - Full..34.2 Watts on  12 ports..•...","1462.5","1950.0",""
"P311-025","""3.5MM Mini Stereo Audio Extension Cable - 25 Ft - M/F","10.49","17.95",""
"PHSC50","""50 Ft - (14 guage wire). 9.2mm Speaker Cable""","31.5","59.5","Accessories"
"PH3","""8mm Inst Cable - 3 Ft -.  1/4"""" - 1/4""""""","9.0","12.95","Accessories"
"PXT3509","""9 fT - 3.5MM TRS. -3.5MM TRS""","10.5","18.5","Accessories"
"STR-DH550","""A/V RECEIVER 5.2 4K 145wx5""","282.86","395.0",""
"10703000228","""B20K POTENTIOMETER..HORIZONTAL MOUNT B20K POTENTIOMETER.HORIZONTAL""","0.0","8.0",""
"930-3001-300","""COLLABORATE Pro 300 includes: ..- COLLABORATE 300 codec with P2P SIP/H.323 video conferencing  ..- Spontania Room (25 participants) license for 1 year, Spontania Gateway for 1 year..- Dual Display, Wireless presentation and collaboration..- UNITE PTZ ...","3768.04","4690.0",""
"930-3001-600","""COLLABORATE Pro 600 includes: ..- COLLABORATE 600 codec with 4-way SIP/H.323 video conferencing  ..- Spontania Room (25 participants) license for 1 year, Spontania Gateway for 1 year..- Wireless presentation and collaboration..- Dual Display, Capture ...","7509.93","9375.0",""
"930-3001-150","""COLLABORATE Versa 150 includes: ..- Spontania Room (25 participants) license and Spontania Gateway for 90 days..- COLLABORATE Versa hub..- UNITE USB PTZ camera - 12x optical zoom..- CHAT 150 Speakerphone..- Two years warranty for versa hub, camera and...","1876.68","2895.0",""
"KIT-KDL-32R300C-K1","""COMPLETE BOARD SET FOR KDL32R300C""","66.58","100.0",""
"EW 30309 S","""Diagnostic Wrist Blood Pressure Meter""","44.81","67.5",""
"Legend CA154","""Eminence 15"""" Bass Guitar Speaker, 300 Watts at 4 Ohms","0.0","0.0",""
"C36-30","""Enterprise-class Wireless Controller..•  Controlled 802.11 a/b/g/n Wireless..•  Global Configuration..•  System and Access Point Monitoring..•  Wireless Scheduling..•  MAC Filtering""..""Enterprise-class Wireless Controller..•  Controlled 802.11 a/b/g/n...","3200.0","5185.0",""
"WK-1-0","""Enterprise-class, Dual Band Concurrent Ultra High Range & Throughput Outdoor Wireless-AC Access Point..•  802.11 a/b/g/n/ac..•  802.3at compliant PoE (PoE+)..•  Multi-SSID, VLAN""..","337.5","1475.0",""
"WK-2","""Enterprise-class, Dual Band Concurrent Ultra High Range & Throughput Wireless-AC Access Point..•  802.11 a/b/g/n/ac..•  802.3at compliant PoE (PoE+)            ..•  3x3 MIMO..•  Multi-SSID, VLAN""..","652.5","880.0",""
"PRD18-GB","""FM-Stereo/AM Digital Tuning Portable Receiver. Clock/Sleep Timer""","59.45","95.0","Home Audio / Portable Audio / Portable Radios & Boomboxes"
"HDMX44-4K","""KanexPro ..Ultra-Fast 4x4 HDMI Matrix Switcher with 4K/60Hz ""				..Cross-Switch four HDMI sources to four 4K displays with HDCP2.2				..","599.97","1220.0",""
"SW-HD3X14","""KanexPro 3x1 HDMI Switcher with 4K Support   New","0.0","0.0",""
"SW-HD5X14K","""KanexPro 5x1 HDMI Switcher with 4K Support  Rapidly switch between 5 inputs to one output","31.32","69.0",""
"P5K","""MEMORY CARD READER RDP5""","6.15","9.95",""
"BN94-11256Z","""Main PCB UN50KU630DFXZA Ver: DB02, DE07""","0.0","255.0",""
"PY-M214M","""Mono 1/4""""(M)-Dual Mono(F). 6"""" Y Cable""","7.5","12.95",""
"KA2284","""Original"" Samsung 9P SIP IC","8.68","15.0",""
"IMPULSE 1015-8OHM","""Peavey 15"""" BLK Speaker 1000W Program 2000W Peak1508-8 SPS BWX Woofer RX 22 Driver""","496.0","725.0",""
"PCH10RA","""Rasta Stripes"" Instrument Cable - 10 Ft..CLOSEOUT","14.0","15.0",""
"QN32LS03B","""The Frame""..32"" Smart QLED 1080p TV with HDR and art display modes","635.1","875.0",""
"KIT-UN50KU630DFXZA-K2","""UN50KU630DFXZA Ver: DB02/DE07 Repair Kit BN94-11256Z, BN94-10712A,  BN59-01239A""","113.31","175.0",""
"JBLREFMINIBTBLK","""Wireless Sport Headphones - Reflect Mini BT - Black""","77.96000000000001","119.95",""
"PYXF2XM","""XLR(F)-Dual XLR(M) 6"""" Y. Cable""","13.5","22.95",""
"40735RYW","#110 RCA WH VIDEO INSERT YL","7.49","12.0",""
"SALE - $7.00","$7 Sale Item","0.0","7.0",""
"SALE - 8.00","$8 Sale Item","0.0","8.0",""
"SALE - $85","$85 Sale Item","0.0","85.0",""
"TrLs50-SPIKE","(1) 5.25"" woofer; (1) coaxial mounted 19mm tweeter with ground spike mount, Light Sand colour.. Limited lifetime warranty","580.0","815.0",""
"TrAx60","(1) 6.25"" woofer; (1) 25mm aluminum dome tweeter for Outdoor use..Limited Lifetime Warranty.","609.0","855.0",""
"TrAx80","(1) 8"" woofer; (1) 25mm aluminum dome tweeter for Outdoor use..Limited Lifetime Warranty","500.0","1015.0",""
"C4-EA-1-V2-RSK","(1) EA-1 V2 Controller..(1) SR-260 Remote (1) SR-260 Remote  Charging Station (1) SR-260 Rechargeable Battery","738.12","1035.0",""
"C4-EA5-V2-RSK","(1) EA-5 V2 Controller..(1) SR-260 Remote..(1) SR-260 Remote Charging Station (1) SR-260 Rechargeable Battery","1637.95","3325.0",""
"PBXact UC Call Center PBXact UC","(10 user extensions / 5 simultaneous calls)","290.0","395.0",""
"11.2 Dolby Atmos System","(2) R-115 Sub, (4) CDT-580-C 11 Ceiling, (4) RP-250S Wall, (1) RP-450C Center (4) RP-280FA","3855.0","7825.0",""
"VG-SCFA75TKBZA","(2021-2022) 75"" The Frame Customizable Bezel - Modern Teak","0.0","295.0",""
"32LV340C","(31.5"" diagonal) 32LV340C Essential Commercial TV Functionality","406.0","570.0",""
"","(4) XLR - (2) Speak-On - (2) 110VAC","257.38","388.0",""
"43LV340C","(42.5” diagonal) 43LV340C Essential Commercial TV Functionality","652.5","915.0",""
"49LV340C","(48.5” diagonal) 49LV340C Essential Commercial TV Functionality","848.25","1190.0",""
"Saker Contour Gauge","(5 Inch Lock) Profile Tool- Adjustable Lock-Precisely Copy Irregular Shape Duplicator","32.18","35.0",""
"55LV340C","(54.9” diagonal) 55LV340C Essential Commercial TV Functionality","1044.0","1465.0",""
"ME651","(65 inch) 4K UHD Commercial Display 4K UHD native resolution Landscape and Portrait orientation Accepts Intel® Smart Display Module Small or Large Bidirectional and Full External Control..400 cd/m² brightness Integrated Media Player","1305.0","2675.0",""
"79UX340C","(78.57”diagonal) UX340C Commercial Lite Ultra High Definition TV","4081.75","8670.0",""
"X464UNV-TMX9P","(9)-X464UNV-3 bundled with ONSTEMN-3Y-14, (9) 3M DP cables, 25' cat6e patch cables, 3x3 pull-out fully adjustable mounting system (3) Tripp Lite ISOBAR6 Surge Suppressors, Overframe Bezel Kit, Colour calibration Kit, IR/Remote Kit","22275.0","43605.0",""
"NV-32-H","(Core Capable) 4K60 4:4:4 Network Video Endpoint for the Q-SYS Ecosystem,..software configurable as Encoder or Decoder. 3 HDMI 2.0 Inputs, 2 HDMI 2.0 Outputs, on-board AV..Bridging. Supports optional stand-alone “Q-SYS Core Mode"" operation for audio DS...","2941.18","5975.0",""
"X555UNV-TMX6P","(Qty 6) NEC X555UNV Video Wall Monitor(1) NEC KT-LFD-CC Color Calibration K..(1) NEC KT-RC2 External Sensor/Ambient Light Sensor Kit..(3) NEC KT-55UN-OF3 Overframe Bezel..(6) Peerless-AV DS-VW775 video wall.. mounts o	(1) 25ft cat5e patch cable o	(2) T...","27946.4","35620.0",""
"Cat5e Cable","(for AV System)","0.0","0.0",""
"LOW RIDER 18"" 4 OHM RB","***BASKET ONLY*** Peavey 18"" Low Rider 4ohm 03560380","137.75","200.0",""
"QBASIC Plus","***CUSTOM ORDER*** White 76.5 x 84","724.29","995.0",""
"43QNED75","***DISPLAY MODEL*** LG 43QNED75 43-Inch Mini-LED Smart TV","0.0","600.0","TV & Home Theater / TVs"
"OLED55C3PUA","***DISPLAY MODEL*** LG OLED55C3 55"" 120Hz 4K OLED Smart Television","1824.1000000000001","1695.0","TV & Home Theater / TVs"
"QN55S90C","***DISPLAY MODEL*** Samsung QN55S90C 55"" 4K 120Hz QD-OLED TV","2047.4","1695.0","TV & Home Theater / TVs"
"66799 DF","***DUTY FREE*** 1ft (0.3m) Cat6a Snagless Shielded..(SFTP) PVC CMX Ethernet Network..Patch Cable, Blue","2.38","5.0",""
